,col_a,col_b,pvalue
474,07-00_1,07-00_2,1.1029586746567922e-39
475,07-00_1,07-00_3,3.919349813451563e-152
476,07-00_1,07-00_4,1.832535409434332e-169
477,07-00_1,07-00_5,6.512506053389931e-166
478,07-00_1,07-01_0,5.510575084478421e-17
479,07-00_1,07-01_1,1.7717943599920427e-34
480,07-00_1,07-01_3,5.3296227380397545e-30
481,07-00_1,07-01_4,4.9903421201897356e-29
482,07-00_1,07-01_5,5.1772027312988145e-34
483,07-00_2,07-00_2,0.0
484,07-00_2,07-00_3,7.38867407676675e-28
485,07-00_2,07-00_4,1.3173372092232968e-30
486,07-00_2,07-00_5,9.43173912057736e-38
487,07-00_2,07-01_0,3.595125486125101e-15
488,07-00_2,07-01_1,4.7026511268297946e-17
489,07-00_2,07-01_2,1.5122657414996155e-24
490,07-00_2,07-01_5,5.612634975607793e-17
491,07-00_3,07-00_3,0.0
492,07-00_3,07-00_4,3.8983543515864927e-203
493,07-00_3,07-00_5,3.071679514071801e-134
494,07-00_3,07-01_1,3.015428584238047e-32
495,07-00_3,07-01_3,8.771197607050104e-34
496,07-00_3,07-01_4,1.9658256206035535e-31
497,07-00_3,07-01_5,1.8389524005014117e-33
498,07-00_4,07-00_4,0.0
499,07-00_4,07-00_5,2.788015916449556e-111
500,07-00_4,07-01_1,1.932232175406592e-31
501,07-00_4,07-01_3,2.869750117133209e-32
502,07-00_4,07-01_4,5.204470399934842e-31
503,07-00_4,07-01_5,1.8987011554757968e-31
504,07-00_5,07-00_5,0.0
505,07-00_5,07-01_0,1.1089034529073265e-17
506,07-00_5,07-01_1,1.7784989408435858e-35
507,07-00_5,07-01_3,4.4192572162631444e-30
508,07-00_5,07-01_4,2.3627881047568068e-29
509,07-00_5,07-01_5,5.985212908995234e-37
510,07-01_0,07-01_0,0.0
511,07-01_0,07-01_1,4.312016493630196e-27
512,07-01_0,07-01_2,1.250242644498675e-34
513,07-01_0,07-01_3,1.3273439628127985e-19
514,07-01_0,07-01_4,1.1874818375806811e-19
515,07-01_0,07-01_5,2.247593105899693e-29
516,07-01_1,07-01_1,0.0
517,07-01_1,07-01_2,8.725548788737181e-31
518,07-01_1,07-01_3,1.893622285624395e-124
519,07-01_1,07-01_4,4.144343416025696e-158
520,07-01_1,07-01_5,2.0820429778438295e-171
521,07-01_2,07-01_2,0.0
522,07-01_2,07-01_3,6.68201368355836e-16
523,07-01_2,07-01_4,1.3301535737831952e-19
524,07-01_2,07-01_5,4.019932900561278e-28
525,07-01_3,07-01_3,0.0
526,07-01_3,07-01_4,1.5458774770966916e-191
527,07-01_3,07-01_5,8.154301658788366e-145
528,07-01_4,07-01_4,0.0
529,07-01_4,07-01_5,4.5979860365313254e-130
530,07-01_5,07-01_5,0.0
531,dbi_score,dbi_score,0.0
532,dbi_score,bai_score,2.0362274428695308e-43
533,dbi_score,asrsa_score,1.85413218500275e-20
534,dbi_score,oci_score,7.318469090859452e-26
535,dbi_score,sqr_score,1.3974726920258273e-51
536,bai_score,bai_score,0.0
537,bai_score,asrsb_score,2.0534421568761944e-19
538,bai_score,oci_score,2.102374116748585e-28
539,bai_score,sqr_score,1.3062220489398262e-51
540,asrsa_score,asrsa_score,0.0
541,asrsa_score,asrsb_score,8.201609985877079e-20
542,asrsa_score,sqr_score,2.459195382242105e-24
543,asrsb_score,asrsb_score,0.0
544,asrsb_score,sqr_score,2.0290000262244025e-18
545,oci_score,oci_score,0.0
546,oci_score,sqr_score,2.6499602033510973e-25
547,sqr_score,sqr_score,0.0
548,age,age,0.0
